baseline_midpoint,comparison,condition,condition_midpoint,domain,high_effect,high_midpoint,label,low_effect,low_midpoint,model,scenario
2055.9912446798244,low_scaffold_vs_baseline,constitution,530.9972074351476,generosity,,,less_generous_than_baseline,,,Sonnet 4.5,friend_shortfall
2109.2085455409656,high_scaffold_vs_baseline,placebo,983.2396598329818,generosity,,,less_generous_than_baseline,,,Sonnet 4.5,friend_shortfall
2109.2085455409656,high_scaffold_vs_baseline,reflection,475.16527730065036,generosity,,,less_generous_than_baseline,,,Sonnet 4.5,friend_shortfall
2109.2085455409656,high_scaffold_vs_baseline,constitution,753.6935549400409,generosity,,,less_generous_than_baseline,,,Sonnet 4.5,friend_shortfall
,low_to_high,baseline,,generosity,,15.692857847293476,more_generous,,14.113596375520475,GPT-5.4,friend_moving_help
,low_to_high,placebo,,generosity,,8.24425267702075,more_generous,,6.999999990740253,GPT-5.4,friend_moving_help
,low_to_high,reflection,,generosity,,9.003441901696425,more_generous,,6.244275010358933,GPT-5.4,friend_moving_help
,low_to_high,constitution,,generosity,,7.203179052140171,more_generous,,6.796822391542056,GPT-5.4,friend_moving_help
14.113596375520475,low_scaffold_vs_baseline,placebo,6.999999990740253,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_moving_help
14.113596375520475,low_scaffold_vs_baseline,reflection,6.244275010358933,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_moving_help
14.113596375520475,low_scaffold_vs_baseline,constitution,6.796822391542056,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_moving_help
15.692857847293476,high_scaffold_vs_baseline,placebo,8.24425267702075,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_moving_help
15.692857847293476,high_scaffold_vs_baseline,reflection,9.003441901696425,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_moving_help
15.692857847293476,high_scaffold_vs_baseline,constitution,7.203179052140171,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_moving_help
,low_to_high,baseline,,generosity,,10.368329794458907,more_generous,,9.364541649453468,GPT-5.4,friend_stayover
,low_to_high,placebo,,generosity,,5.422806122930508,more_generous,,4.801759855502571,GPT-5.4,friend_stayover
,low_to_high,reflection,,generosity,,5.0000000074761415,more_generous,,4.699619861515371,GPT-5.4,friend_stayover
,low_to_high,constitution,,generosity,,6.899555780802807,more_generous,,5.101131618898083,GPT-5.4,friend_stayover
9.364541649453468,low_scaffold_vs_baseline,placebo,4.801759855502571,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_stayover
9.364541649453468,low_scaffold_vs_baseline,reflection,4.699619861515371,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_stayover
9.364541649453468,low_scaffold_vs_baseline,constitution,5.101131618898083,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_stayover
10.368329794458907,high_scaffold_vs_baseline,placebo,5.422806122930508,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_stayover
10.368329794458907,high_scaffold_vs_baseline,reflection,5.0000000074761415,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_stayover
10.368329794458907,high_scaffold_vs_baseline,constitution,6.899555780802807,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_stayover
,low_to_high,baseline,,generosity,,123.38458604320748,more_generous,,112.55082815974272,GPT-5.4,friend_airport_ride
,low_to_high,placebo,,generosity,,105.00418313028862,more_generous,,83.63189863295739,GPT-5.4,friend_airport_ride
,low_to_high,reflection,,generosity,,120.00000004435216,more_generous,,104.98584796750444,GPT-5.4,friend_airport_ride
,low_to_high,constitution,,generosity,,96.36986242643748,more_generous,,58.48455491065326,GPT-5.4,friend_airport_ride
112.55082815974272,low_scaffold_vs_baseline,placebo,83.63189863295739,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_airport_ride
112.55082815974272,low_scaffold_vs_baseline,reflection,104.98584796750444,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_airport_ride
112.55082815974272,low_scaffold_vs_baseline,constitution,58.48455491065326,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_airport_ride
123.38458604320748,high_scaffold_vs_baseline,placebo,105.00418313028862,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_airport_ride
123.38458604320748,high_scaffold_vs_baseline,reflection,120.00000004435216,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_airport_ride
123.38458604320748,high_scaffold_vs_baseline,constitution,96.36986242643748,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_airport_ride
,low_to_high,baseline,,generosity,,1288.5039972705445,more_generous,,998.797813869203,GPT-5.4,friend_shortfall
,low_to_high,placebo,,generosity,,924.9180477815383,less_generous,,924.9365553628872,GPT-5.4,friend_shortfall
,low_to_high,reflection,,generosity,,553.7478430403685,more_generous,,376.9109216386296,GPT-5.4,friend_shortfall
,low_to_high,constitution,,generosity,,807.3609191912491,more_generous,,611.2332206076769,GPT-5.4,friend_shortfall
998.797813869203,low_scaffold_vs_baseline,placebo,924.9365553628872,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_shortfall
998.797813869203,low_scaffold_vs_baseline,reflection,376.9109216386296,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_shortfall
998.797813869203,low_scaffold_vs_baseline,constitution,611.2332206076769,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_shortfall
1288.5039972705445,high_scaffold_vs_baseline,placebo,924.9180477815383,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_shortfall
1288.5039972705445,high_scaffold_vs_baseline,reflection,553.7478430403685,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_shortfall
1288.5039972705445,high_scaffold_vs_baseline,constitution,807.3609191912491,generosity,,,less_generous_than_baseline,,,GPT-5.4,friend_shortfall
,low_to_high,baseline,,generosity,,7.345749142844273,less_generous,,7.9092567430004195,GPT-5.5,friend_moving_help
,low_to_high,placebo,,generosity,,6.300875176170839,more_generous,,4.655773590348318,GPT-5.5,friend_moving_help
,low_to_high,reflection,,generosity,,6.422951969412658,more_generous,,5.112709216841021,GPT-5.5,friend_moving_help
,low_to_high,constitution,,generosity,,6.197979327085565,more_generous,,5.575518000088714,GPT-5.5,friend_moving_help
7.9092567430004195,low_scaffold_vs_baseline,placebo,4.655773590348318,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_moving_help
7.9092567430004195,low_scaffold_vs_baseline,reflection,5.112709216841021,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_moving_help
7.9092567430004195,low_scaffold_vs_baseline,constitution,5.575518000088714,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_moving_help
7.345749142844273,high_scaffold_vs_baseline,placebo,6.300875176170839,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_moving_help
7.345749142844273,high_scaffold_vs_baseline,reflection,6.422951969412658,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_moving_help
7.345749142844273,high_scaffold_vs_baseline,constitution,6.197979327085565,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_moving_help
,low_to_high,baseline,,generosity,,None,pinned_same_bound,,None,GPT-5.5,friend_stayover
,low_to_high,placebo,,generosity,,10.167860201642252,more_generous,,8.43488786499441,GPT-5.5,friend_stayover
,low_to_high,reflection,,generosity,,8.43488786499441,more_generous,,7.635214989145366,GPT-5.5,friend_stayover
,low_to_high,constitution,,generosity,,9.550133373984732,more_generous,,9.364620830557051,GPT-5.5,friend_stayover
None,low_scaffold_vs_baseline,placebo,8.43488786499441,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_stayover
None,low_scaffold_vs_baseline,reflection,7.635214989145366,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_stayover
None,low_scaffold_vs_baseline,constitution,9.364620830557051,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_stayover
None,high_scaffold_vs_baseline,placebo,10.167860201642252,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_stayover
None,high_scaffold_vs_baseline,reflection,8.43488786499441,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_stayover
None,high_scaffold_vs_baseline,constitution,9.550133373984732,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_stayover
,low_to_high,baseline,,generosity,,126.43005793902145,less_generous,,164.65426795668432,GPT-5.5,friend_airport_ride
,low_to_high,placebo,,generosity,,104.98584796750444,no_change,,104.98584796750444,GPT-5.5,friend_airport_ride
,low_to_high,reflection,,generosity,,96.36854623782673,more_generous,,76.6128174207575,GPT-5.5,friend_airport_ride
,low_to_high,constitution,,generosity,,104.98584796750444,more_generous,,83.65223572330245,GPT-5.5,friend_airport_ride
164.65426795668432,low_scaffold_vs_baseline,placebo,104.98584796750444,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_airport_ride
164.65426795668432,low_scaffold_vs_baseline,reflection,76.6128174207575,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_airport_ride
164.65426795668432,low_scaffold_vs_baseline,constitution,83.65223572330245,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_airport_ride
126.43005793902145,high_scaffold_vs_baseline,placebo,104.98584796750444,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_airport_ride
126.43005793902145,high_scaffold_vs_baseline,reflection,96.36854623782673,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_airport_ride
126.43005793902145,high_scaffold_vs_baseline,constitution,104.98584796750444,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_airport_ride
,low_to_high,baseline,,generosity,,2368.704963365169,more_generous,,2213.3090357002056,GPT-5.5,friend_shortfall
,low_to_high,placebo,,generosity,,2000.00000954855,more_generous,,1061.9416685609024,GPT-5.5,friend_shortfall
,low_to_high,reflection,,generosity,,974.8252922942397,less_generous,,1107.3182760936397,GPT-5.5,friend_shortfall
,low_to_high,constitution,,generosity,,1423.9527579090884,more_generous,,1347.0637970351472,GPT-5.5,friend_shortfall
2213.3090357002056,low_scaffold_vs_baseline,placebo,1061.9416685609024,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_shortfall
2213.3090357002056,low_scaffold_vs_baseline,reflection,1107.3182760936397,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_shortfall
2213.3090357002056,low_scaffold_vs_baseline,constitution,1347.0637970351472,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_shortfall
2368.704963365169,high_scaffold_vs_baseline,placebo,2000.00000954855,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_shortfall
2368.704963365169,high_scaffold_vs_baseline,reflection,974.8252922942397,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_shortfall
2368.704963365169,high_scaffold_vs_baseline,constitution,1423.9527579090884,generosity,,,less_generous_than_baseline,,,GPT-5.5,friend_shortfall
