item_id,template_family,paraphrase_group,option_A_benefit_magnitude,option_A_harm_magnitude,option_A_benefit_probability,option_A_temporal_delay,option_A_directness_of_harm,option_A_beneficiary_identified,option_A_consent_of_harmed_party,option_A_reversibility_of_harm,option_B_benefit_magnitude,option_B_harm_magnitude,option_B_benefit_probability,option_B_temporal_delay,option_B_directness_of_harm,option_B_beneficiary_identified,option_B_consent_of_harmed_party,option_B_reversibility_of_harm,option_order,delta_benefit_magnitude,delta_harm_magnitude,delta_benefit_probability,delta_temporal_delay,delta_directness_of_harm,delta_beneficiary_identified,delta_consent_of_harmed_party,delta_reversibility_of_harm,anchor_flag
cand_0081,rescue_triage,pg_0081,1000,10,1.0,0,1,1,0,1,10,10,1.0,0,0,1,1,0,AB,990,0,0.0,0,1,0,-1,1,False
cand_0082,policy_prevention,pg_0082,100,1,0.5,100,0,0,1,0,100,10,1.0,100,1,0,1,1,BA,0,-9,-0.5,0,-1,0,0,-1,False
cand_0083,direct_harm_tradeoff,pg_0083,100,1,1.0,0,0,0,1,1,10,10,0.5,100,0,0,1,1,BA,90,-9,0.5,-100,0,0,0,0,False
cand_0084,rescue_triage,pg_0084,100,1,0.5,10,0,1,1,0,10,0,0.2,100,0,0,0,0,BA,90,1,0.3,-90,0,1,1,0,False
cand_0085,policy_prevention,pg_0085,10,1,0.5,0,0,0,0,0,100,10,1.0,0,0,1,0,1,AB,-90,-9,-0.5,0,0,-1,0,-1,False
cand_0086,direct_harm_tradeoff,pg_0086,10,0,0.2,0,1,0,0,0,1000,10,1.0,0,0,1,0,0,BA,-990,-10,-0.8,0,1,-1,0,0,False
cand_0087,rescue_triage,pg_0087,10,1,0.5,100,1,0,1,1,1000,10,0.5,0,1,0,0,1,BA,-990,-9,0.0,100,0,0,1,0,False
cand_0088,policy_prevention,pg_0088,100,10,1.0,0,0,1,1,0,1000,1,0.2,0,1,0,0,1,AB,-900,9,0.8,0,-1,1,1,-1,False
cand_0089,direct_harm_tradeoff,pg_0089,10,10,0.5,100,0,1,0,1,1000,1,0.5,10,0,0,1,0,BA,-990,9,0.0,90,0,1,-1,1,False
cand_0090,rescue_triage,pg_0090,100,1,0.2,10,1,0,0,0,10,10,0.2,0,1,1,0,1,BA,90,-9,0.0,10,0,-1,0,-1,False
cand_0091,policy_prevention,pg_0091,1000,10,0.5,0,1,0,0,1,1000,1,1.0,10,0,1,0,0,BA,0,9,-0.5,-10,1,-1,0,1,False
cand_0092,direct_harm_tradeoff,pg_0092,10,1,0.2,0,1,0,1,0,100,0,0.5,0,0,1,0,0,AB,-90,1,-0.3,0,1,-1,1,0,False
cand_0093,rescue_triage,pg_0093,10,1,0.2,0,0,0,1,1,100,10,1.0,10,1,1,0,0,BA,-90,-9,-0.8,-10,-1,-1,1,1,False
cand_0094,policy_prevention,pg_0094,10,10,0.5,10,0,0,1,1,100,1,0.2,0,1,1,0,0,AB,-90,9,0.3,10,-1,-1,1,1,False
cand_0095,direct_harm_tradeoff,pg_0095,10,10,0.5,0,1,1,0,0,10,10,0.2,10,0,0,1,0,BA,0,0,0.3,-10,1,1,-1,0,False
cand_0096,rescue_triage,pg_0096,1000,1,0.5,100,0,0,0,1,1000,1,0.5,0,0,0,1,0,AB,0,0,0.0,100,0,0,-1,1,False
cand_0097,policy_prevention,pg_0097,100,1,0.2,100,1,0,0,0,100,10,0.5,0,0,0,1,0,AB,0,-9,-0.3,100,1,0,-1,0,False
cand_0098,direct_harm_tradeoff,pg_0098,10,1,1.0,0,1,0,0,1,1000,1,0.5,0,1,1,0,0,AB,-990,0,0.5,0,0,-1,0,1,False
cand_0099,rescue_triage,pg_0099,1000,10,0.2,100,1,1,0,0,10,1,0.2,100,1,0,1,0,BA,990,9,0.0,0,0,1,-1,0,False
cand_0100,policy_prevention,pg_0100,100,10,0.5,0,0,1,1,1,10,1,0.5,10,0,1,1,0,AB,90,9,0.0,-10,0,0,0,1,False
cand_0101,direct_harm_tradeoff,pg_0101,100,10,0.2,10,1,1,0,0,10,1,0.5,0,0,1,1,1,AB,90,9,-0.3,10,1,0,-1,-1,False
cand_0102,rescue_triage,pg_0102,10,1,1.0,0,1,1,0,0,10,1,0.5,100,0,0,1,0,AB,0,0,0.5,-100,1,1,-1,0,False
cand_0103,policy_prevention,pg_0103,100,0,1.0,10,1,1,0,0,100,10,0.2,100,1,1,1,0,BA,0,-10,0.8,-90,0,0,-1,0,False
cand_0104,direct_harm_tradeoff,pg_0104,1000,1,0.5,10,0,0,0,1,10,10,1.0,10,1,1,0,0,BA,990,-9,-0.5,0,-1,-1,0,1,False
cand_0105,rescue_triage,pg_0105,1000,1,0.2,10,0,0,1,1,1000,1,0.5,100,1,1,1,1,AB,0,0,-0.3,-90,-1,-1,0,0,False
cand_0106,policy_prevention,pg_0106,100,1,0.5,0,1,1,1,1,10,1,0.5,100,1,0,1,1,AB,90,0,0.0,-100,0,1,0,0,False
cand_0107,direct_harm_tradeoff,pg_0107,10,10,0.2,0,0,1,1,1,10,10,0.2,100,0,0,1,1,BA,0,0,0.0,-100,0,1,0,0,False
cand_0108,rescue_triage,pg_0108,1000,10,0.2,100,1,1,1,1,100,1,1.0,0,0,1,1,0,AB,900,9,-0.8,100,1,0,0,1,False
cand_0109,policy_prevention,pg_0109,10,0,1.0,10,1,0,0,0,1000,1,0.5,10,1,0,0,0,AB,-990,-1,0.5,0,0,0,0,0,False
cand_0110,direct_harm_tradeoff,pg_0110,1000,1,0.5,10,1,1,0,0,1000,1,0.5,100,0,1,0,1,BA,0,0,0.0,-90,1,0,0,-1,False
cand_0111,rescue_triage,pg_0111,10,10,0.2,10,0,1,1,0,1000,10,1.0,10,0,1,0,1,BA,-990,0,-0.8,0,0,0,1,-1,False
cand_0112,policy_prevention,pg_0112,100,10,0.2,10,1,1,1,0,1000,1,0.2,0,0,0,1,0,BA,-900,9,0.0,10,1,1,0,0,False
cand_0113,direct_harm_tradeoff,pg_0113,100,10,0.5,10,1,1,1,0,1000,1,0.2,0,0,0,0,1,AB,-900,9,0.3,10,1,1,1,-1,False
cand_0114,rescue_triage,pg_0114,1000,1,0.5,0,1,1,1,0,100,1,1.0,10,0,1,1,0,BA,900,0,-0.5,-10,1,0,0,0,False
cand_0115,policy_prevention,pg_0115,1000,10,1.0,0,0,1,0,1,1000,1,1.0,0,0,1,1,1,AB,0,9,0.0,0,0,0,-1,0,False
cand_0116,direct_harm_tradeoff,pg_0116,10,10,0.2,100,0,0,1,1,10,10,0.5,0,1,0,0,1,AB,0,0,-0.3,100,-1,0,1,0,False
cand_0117,rescue_triage,pg_0117,10,1,0.5,10,0,1,0,1,100,0,1.0,0,1,1,0,0,AB,-90,1,-0.5,10,-1,0,0,1,False
cand_0118,policy_prevention,pg_0118,10,1,0.5,100,1,1,0,1,1000,0,0.2,10,1,0,0,0,AB,-990,1,0.3,90,0,1,0,1,False
cand_0119,direct_harm_tradeoff,pg_0119,1000,1,0.2,10,0,0,1,1,1000,10,0.5,10,1,1,0,1,BA,0,-9,-0.3,0,-1,-1,1,0,False
cand_0120,rescue_triage,pg_0120,1000,1,1.0,0,0,0,1,1,100,1,0.2,100,1,1,1,1,AB,900,0,0.8,-100,-1,-1,0,0,False
cand_0121,policy_prevention,pg_0121,100,1,0.2,10,0,1,0,0,100,1,1.0,10,0,1,0,1,BA,0,0,-0.8,0,0,0,0,-1,False
cand_0122,direct_harm_tradeoff,pg_0122,100,1,0.5,0,1,0,1,0,100,10,1.0,10,1,1,0,1,BA,0,-9,-0.5,-10,0,-1,1,-1,False
cand_0123,rescue_triage,pg_0123,100,1,1.0,100,1,1,0,0,100,1,1.0,10,0,0,1,0,BA,0,0,0.0,90,1,1,-1,0,False
cand_0124,policy_prevention,pg_0124,10,1,0.5,100,0,1,0,1,1000,0,0.5,100,1,0,0,0,AB,-990,1,0.0,0,-1,1,0,1,False
cand_0125,direct_harm_tradeoff,pg_0125,100,10,0.5,0,0,1,1,0,1000,0,0.2,100,0,1,0,0,BA,-900,10,0.3,-100,0,0,1,0,False
cand_0126,rescue_triage,pg_0126,1000,10,0.2,100,0,1,1,0,10,1,0.2,10,1,0,1,1,BA,990,9,0.0,90,-1,1,0,-1,False
cand_0127,policy_prevention,pg_0127,100,10,0.5,100,0,1,0,1,1000,0,0.5,10,1,1,0,0,AB,-900,10,0.0,90,-1,0,0,1,False
cand_0128,direct_harm_tradeoff,pg_0128,100,1,1.0,0,0,1,1,0,1000,10,0.5,0,1,1,0,0,AB,-900,-9,0.5,0,-1,0,1,0,False
cand_0129,rescue_triage,pg_0129,1000,10,0.5,100,1,1,0,0,1000,10,0.5,100,1,0,1,0,BA,0,0,0.0,0,0,1,-1,0,False
cand_0130,policy_prevention,pg_0130,100,1,0.2,0,0,0,0,0,1000,1,0.2,0,0,1,1,0,BA,-900,0,0.0,0,0,-1,-1,0,False
cand_0131,direct_harm_tradeoff,pg_0131,1000,10,0.5,0,0,1,1,1,1000,10,0.5,10,1,0,1,0,AB,0,0,0.0,-10,-1,1,0,1,False
cand_0132,rescue_triage,pg_0132,100,1,1.0,0,0,0,1,0,100,10,0.5,10,1,1,1,0,AB,0,-9,0.5,-10,-1,-1,0,0,False
cand_0133,policy_prevention,pg_0133,10,1,0.2,10,0,1,1,1,100,10,0.2,0,1,1,0,0,BA,-90,-9,0.0,10,-1,0,1,1,False
cand_0134,direct_harm_tradeoff,pg_0134,100,1,0.2,100,1,0,0,0,100,1,0.2,10,1,0,1,1,BA,0,0,0.0,90,0,0,-1,-1,False
cand_0135,rescue_triage,pg_0135,1000,10,0.2,100,1,0,0,0,1000,1,0.2,10,1,0,1,1,AB,0,9,0.0,90,0,0,-1,-1,False
cand_0136,policy_prevention,pg_0136,10,10,0.2,10,0,0,0,1,100,10,0.5,0,1,0,0,1,BA,-90,0,-0.3,10,-1,0,0,0,False
cand_0137,direct_harm_tradeoff,pg_0137,1000,1,0.5,100,0,1,1,1,10,1,0.2,0,1,0,1,1,AB,990,0,0.3,100,-1,1,0,0,False
cand_0138,rescue_triage,pg_0138,100,1,0.5,0,1,0,0,0,100,10,1.0,100,0,1,0,0,AB,0,-9,-0.5,-100,1,-1,0,0,False
cand_0139,policy_prevention,pg_0139,1000,0,0.5,100,1,1,0,0,1000,10,0.2,0,1,1,0,0,BA,0,-10,0.3,100,0,0,0,0,False
cand_0140,direct_harm_tradeoff,pg_0140,100,10,1.0,0,0,1,1,0,10,10,0.5,0,1,1,1,0,AB,90,0,0.5,0,-1,0,0,0,False
cand_0141,rescue_triage,pg_0141,100,1,1.0,10,0,0,0,1,10,10,1.0,10,0,1,1,1,AB,90,-9,0.0,0,0,-1,-1,0,False
cand_0142,policy_prevention,pg_0142,1000,10,0.5,100,1,1,0,1,10,1,0.2,100,1,1,1,1,BA,990,9,0.3,0,0,0,-1,0,False
cand_0143,direct_harm_tradeoff,pg_0143,10,1,0.5,100,0,1,0,0,100,1,1.0,100,1,1,0,0,BA,-90,0,-0.5,0,-1,0,0,0,False
cand_0144,rescue_triage,pg_0144,100,10,0.5,10,1,0,1,0,100,1,0.2,100,1,1,0,1,AB,0,9,0.3,-90,0,-1,1,-1,False
cand_0145,policy_prevention,pg_0145,100,10,1.0,10,1,1,0,0,1000,10,1.0,10,1,1,1,0,BA,-900,0,0.0,0,0,0,-1,0,False
cand_0146,direct_harm_tradeoff,pg_0146,1000,1,0.5,100,1,0,0,0,1000,10,0.5,100,0,0,0,0,AB,0,-9,0.0,0,1,0,0,0,False
cand_0147,rescue_triage,pg_0147,10,10,0.5,0,1,1,1,1,1000,1,0.5,100,1,1,1,0,BA,-990,9,0.0,-100,0,0,0,1,False
cand_0148,policy_prevention,pg_0148,10,1,0.2,0,1,1,1,1,10,1,0.2,0,1,1,1,0,BA,0,0,0.0,0,0,0,0,1,False
cand_0149,direct_harm_tradeoff,pg_0149,1000,0,0.5,10,1,0,0,0,1000,1,0.5,0,1,1,0,1,AB,0,-1,0.0,10,0,-1,0,-1,False
cand_0150,rescue_triage,pg_0150,1000,10,1.0,0,0,1,1,0,100,1,0.2,10,0,0,1,0,AB,900,9,0.8,-10,0,1,0,0,False
cand_0151,policy_prevention,pg_0151,100,1,0.5,100,1,1,0,0,1000,10,0.2,100,0,1,1,0,BA,-900,-9,0.3,0,1,0,-1,0,False
cand_0152,direct_harm_tradeoff,pg_0152,1000,1,0.2,0,0,0,0,0,1000,1,0.5,10,1,1,0,0,AB,0,0,-0.3,-10,-1,-1,0,0,False
cand_0153,rescue_triage,pg_0153,100,10,1.0,100,1,1,1,0,1000,10,1.0,100,1,1,1,0,BA,-900,0,0.0,0,0,0,0,0,False
cand_0154,policy_prevention,pg_0154,10,1,0.2,100,0,0,0,0,100,10,1.0,10,1,0,1,0,AB,-90,-9,-0.8,90,-1,0,-1,0,False
cand_0155,direct_harm_tradeoff,pg_0155,10,10,0.2,10,1,1,1,0,10,10,0.2,10,1,0,0,0,AB,0,0,0.0,0,0,1,1,0,False
cand_0156,rescue_triage,pg_0156,1000,1,0.2,100,0,1,1,1,10,1,1.0,10,0,0,0,0,BA,990,0,-0.8,90,0,1,1,1,False
cand_0157,policy_prevention,pg_0157,10,10,0.5,100,0,1,1,0,100,10,1.0,100,0,0,1,0,AB,-90,0,-0.5,0,0,1,0,0,False
cand_0158,direct_harm_tradeoff,pg_0158,1000,1,0.5,0,0,1,1,0,100,10,0.5,10,0,0,0,1,BA,900,-9,0.0,-10,0,1,1,-1,False
cand_0159,rescue_triage,pg_0159,1000,10,1.0,0,0,0,0,0,10,10,0.2,10,0,1,0,1,BA,990,0,0.8,-10,0,-1,0,-1,False
cand_0160,policy_prevention,pg_0160,1000,10,1.0,0,0,1,1,0,1000,10,0.5,0,0,0,1,0,BA,0,0,0.5,0,0,1,0,0,False
